image,brightness,contrast,entropy,shadow_clip,highlight_clip,dynamic_range,raw_confidence,best_confidence,improvement,best_enhancement_before_threshold,selected_method
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,0.46612638235092163,0.1384492665529251,0.8833975791931152,1.52587890625e-05,0.0,0.43529415130615234,1.0,1.0,0.0,none,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054.JPG,0.5006889700889587,0.10636866837739944,0.8345105648040771,0.0,0.0,0.32156863808631897,0.999985933303833,0.99998939037323,3.4570693969726562e-06,gamma_dark,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326.JPG,0.4808952510356903,0.15000146627426147,0.8934313058853149,7.62939453125e-05,0.0,0.5098039507865906,0.9420614838600159,0.9989067316055298,0.056845247745513916,clahe,clahe
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.JPG,0.45206910371780396,0.14193688333034515,0.87748122215271,0.000152587890625,0.0,0.43529415130615234,0.989161491394043,0.9997240900993347,0.010562598705291748,hist_eq,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.JPG,0.4104136824607849,0.13402585685253143,0.8756974339485168,3.0517578125e-05,0.0,0.43137258291244507,0.9999998807907104,1.0,1.1920928955078125e-07,clahe,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,0.4238519072532654,0.17563998699188232,0.8921458125114441,6.103515625e-05,0.0,0.5098039507865906,0.9999996423721313,0.9999997615814209,1.1920928955078125e-07,gamma_bright,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\03c8e0d0-6c57-4207-ad44-4d017c3e7943___GCREC_Bact.Sp 6325.JPG,0.44500988721847534,0.11661786586046219,0.857902467250824,4.57763671875e-05,0.0,0.4117647111415863,0.7946662306785583,0.9985213875770569,0.20385515689849854,clahe,clahe
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,0.3540295362472534,0.12276707589626312,0.8689141273498535,0.000152587890625,0.0,0.4117647409439087,0.9997790455818176,0.9999301433563232,0.00015109777450561523,gamma_bright,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\04da1f61-623b-4878-86ed-3ea24723b515___GCREC_Bact.Sp 5700.JPG,0.37862277030944824,0.1723366528749466,0.8934284448623657,0.0004425048828125,0.0,0.5058823823928833,0.9999423027038574,0.9999943971633911,5.2094459533691406e-05,clahe,none
D:\BTECH\PlantDiseaseProject\dataset\val\Tomato___Bacterial_spot\05fc994d-7781-4dc5-a15c-b359f6c681a6___GCREC_Bact.Sp 6304.JPG,0.4071335792541504,0.13042116165161133,0.8676232099533081,4.57763671875e-05,0.0,0.43137258291244507,0.9999997615814209,1.0,2.384185791015625e-07,clahe,none
